"dzim","vcgr","Svars","c3_izglit","c4_Vec_izglit","c5_1_Pers_kopa","c5_2_Pers_virs15","c6_majs_veids","c7_Ekon_akt","C8_Nodarb_statuss","c9_prof_kods_1st_dig","c10_talrunis","c11_rekinu_apmaksa","c12_dzivo_pilseta","c13_prior_tranps","d1_1","d1_2","d1_3","d1_4","d1_5","d1_6","d1_7","d1_8","d1_9","d1_10","d1_11","d1_12","d2_1","d2_2","d2_3","d2_4","d2_5","d2_6","d2_7","d2_8","d2_9","d2_10","d2_11","d2_12","d3_1","d3_2","d3_3","d3_4","d4","pilseta"
"1","2",291.98,"4",20.00,1.00,1.00,"1","4",,,"1","3","1","8","9","3","9","9","3","2","2","2","9","2","2","2","2","9","2","9","3","3","9","9","9","2","2","2",,"3","3","2","10, 5, 6","JEL"
"2","1",71.45,"1",20.00,5.00,3.00,"4","1","1","2","1","3","2","1, 3","2","3","3","2","4","3","2","3","3","2","2","2","2","3","2","2","3","2","2","2","2","3","2","2","1","2","1","1","5, 7, 8","JUR"
"2","2",36.25,"1",20.00,3.00,2.00,"3","1","1","1","1","3","1","1, 6","9","3","1","2","1","2","2","3","2","4","2","1","2","4","2","9","9","9","3","2","4","2","2","3","4","2","2","2","2, 5","VEN"
"2","3",261.28,"1",20.00,1.00,1.00,"1","1","1","3","1, 2","3","1","4, 6","2","3","9","2","2","3","2","1","9","2","3","3","2","9","9","9","4","4","3","3","9","2","2","3","2","2","3","2","5, 6, 10","JEL"
"2","2",35.50,"1",20.00,3.00,3.00,"4","1","1","2","1, 2","3","2","4, 6","1","3","9","9","2","2","1","1","1","2","2","2","1","4","3","3","9","3","2","2","2","9","9","9","2","2","9","1","5, 6, 8","DAU"
"2","2",33.97,"4",20.00,5.00,4.00,"3","1","2","8","1","2","1","1, 4","2","3","2","9","3","3","3","2","3","3","3","3","2","4","3","3","2","4","2","2","4","4","3","3","2","4","2","2","10, 5, 8","JEL"
"1","2",66.57,"2",20.00,4.00,2.00,"3","1","1","7","1","2","1","1, 6","3","4","2","2","3","2","2","2","2","1","1","2","3","4","9","9","2","9","3","3","9","1","2","3","2","4","3","3","5, 8, 10","DAU"
"2","2",8.91,"1",20.00,4.00,2.00,"3","1","1","2","1","3","1","1, 6","2","3","1","2","3","2","2","1","2","2","2","1","1","3","9","9","2","2","1","1","3","9","9","9","2","2","2","2","5, 7, 10","JEK"
"2","2",20.96,"2",20.00,2.00,1.00,"4","2",,,"1","1","2","1, 6","2","2","2","2","2","2","2","2","2","1","1","2","2","3","2","2","4","2","1","1","2","2","2","2",,"3","2","3","6, 7, 8","JUR"
"2","2",23.58,"1",30.00,1.00,1.00,"1","1","2","2","1","3","1","1, 6","2","2","2","1","2","2","2","2","2","2","2","2","2","4","2","3","4","2","2","1","2","2","2","2","1","2","2","2","2, 5, 8","LIE"
"1","1",155.13,"3",10.00,3.00,3.00,"3","1","1","5","1","3","2","1, 4","1","3","2","2","3","2","2","1","1","3","3","3","2","2","9","9","3","2","2","2","9","2","2","2","1","2","1","2","1, 5, 8","DAU"
"2","3",166.07,"1",20.00,1.00,1.00,"1","3",,,"1, 2","3","1","4, 6","1","2","9","2","2","2","2","1","9","2","1","2","2","2","9","9","3","2","2","1","2","9","2","2",,"9","2","2","1, 8, 10","REZ"
"1","2",31.71,"1",30.00,4.00,2.00,"3","1","1","7","1","2","2","1, 5","2","2","1","2","2","2","1","1","1","2","2","2","1","4","3","2","2","2","1","1","2","2","1","2","1","2","1","1","8, 10","JEL"
"2","1",15.36,"1",20.00,2.00,2.00,"2","1","1","2","1","3","3","1, 6","2","2","1","2","2","2","1","1","1","1","2","1","1","3","3","2","2","1","1","1","3","2","1","1","1","2","1","1","5, 8, 10","JEK"
"1","3",69.50,"1",30.00,2.00,2.00,"4","1","1","2","1, 2","3","3","1, 3","2","2","9","2","3","2","2","1","9","2","2","2","2","9","1","9","9","2","3","2","9","2","1","2","1","2","2","2","1, 8, 10","JUR"
"2","1",82.50,"3",20.00,4.00,4.00,"3","1","1","2","2","3","1","3, 6","2","2","2","2","2","2","2","2","2","1","2","2","2","9","2","2","9","3","2","2","9","9","9","9","1","2","1","1","1, 5, 10","JUR"
"1","2",31.71,"1",20.00,4.00,2.00,"3","1","1","2","1, 2","3","2","1, 5","9","2","3","9","4","2","2","2","2","2","2","2","2","9","4","4","9","2","2","2","3","9","3","3","1","2","2","3","8, 10","JEL"
"1","2",48.38,"4",20.00,4.00,2.00,"3","1","1","7","1","3","1","1, 6","9","2","2","1","2","1","2","1","2","2","2","2","1","3","1","3","9","9","2","1","2","3","2","2","2","2","1","1","5, 7, 8","LIE"
"2","2",152.03,"1",60.00,1.00,1.00,"1","3",,,"1, 2","2","1","4, 6","2","4","9","2","3","2","2","3","3","4","4","3","3","4","9","4","3","3","3","3","9","2","2","2",,"3","3","3","5, 8, 10","DAU"
"2","1",23.81,"2",20.00,4.00,1.00,"3","1","1","5","1","1","1","3, 6","3","3","1","1","4","2","2","1","2","2","3","3","1","4","1","1","3","4","2","1","9","3","1","1","1","3","9","1","1, 8, 10","JUR"
"1","2",17.14,"4",20.00,2.00,2.00,"1","2",,,"1","1","1","5, 6","2","3","2","9","3","3","2","2","9","2","2","3","2","4","4","9","3","3","2","3","9","2","2","9","9","4","3","3","5, 8","JEK"
"1","2",20.41,"1",20.00,2.00,2.00,"2","1","1","1","1","3","2","1, 6","2","2","2","2","3","3","3","2","2","2","2","3","2","4","3","3","2","2","3","3","3","2","2","3","2","2","2","2","1, 8, 10","REZ"
"2","2",24.35,"1",30.00,3.00,2.00,"3","1","1","4","1","3","1","4, 6","1","2","9","1","3","1","1","2","1","2","1","2","1","9","1","9","9","2","1","1","1","2","1","1","2","2","1","1","5, 8, 9","LIE"
"2","2",14.47,"3",20.00,3.00,3.00,"3","1","1","9","1","2","2","5, 6","2","3","9","3","2","2","2","2","2","2","2","2","2","4","2","2","4","9","2","2","9","2","9","2","2","3","2","2","5, 8, 9","VAL"
"2","2",28.99,"1",30.00,3.00,2.00,"4","1","1","2","1, 2","9","1","4, 6","1","2","2","2","2","2","2","1","1","2","2","2","2","4","1","9","3","9","2","2","9","3","3","9","9","9","9","9","8","DAU"
